"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15659","configuration with time check","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","29266","Search employee after navigation","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Full Flow","PIM/employeeflow.spec.js","",""
"","30014","Emergency Contacts","webkit","2026-05-29","broken","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","17789","employee Reviews","firefox","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","26690","Job Titles","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","9728","Login with valid credentials","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","4626","Login with empty fields","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","14945","Verify Leave Type dropdown visible","firefox","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","30079","Checking the name of the hiring manager","firefox","2026-05-29","broken","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","12488","my entitlements","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","21108","Help menu- Admin User Guide","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","15078","Verify Leave Type dropdown visible","chromium","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","7832","Login with invalid username","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","4177","Login with empty password","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","26939","Reset employee search fields","chromium","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","14376","my entitlements","webkit","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","25010","Validate required fields on submit","chromium","2026-05-29","passed","2026-05-29","PIM - Employee Validation Tests","PIM/employeevalidation.spec.js","",""
"","26752","Reset employee search fields","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","13186","to validate the timesheet","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/timesheet.spec.js","",""
"","11535","Verify Leave Type dropdown visible","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","14181","Logout successfully","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","20380","Verify Time tab","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/timesheet.spec.js","",""
"","19640","Verify reset button visible","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","15572","Salary","chromium","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","14577","workweeks check","chromium","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","14641","My Info","chromium","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","22807","Role-based dashboard check","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","14254","My Records with time check","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","16194","Configure Trackers","firefox","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","15839","Login and Logout flow","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","29282","add button","firefox","2026-05-29","passed","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","19810","to know about work shifts","firefox","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","5373","Verify login page UI elements","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","9853","Verify Apply button visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","26031","Help menu - Mobile App","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","13183","attendance summary with time check","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/Reports.spec.js","",""
"","25071","Memberships","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","5667","Prevent access to dashboard without login","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","20995","Employees on Leave Today","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","18924","Session should end after logout","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","19158","to know about work shifts","chromium","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","17037","employee reports with time check","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/Reports.spec.js","",""
"","8311","Login and Logout flow","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
